epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
105,16936.1,0.99414,1.60255,0.52503,1.0363,0,0.67944,0.54278,0.61133,0.40741,0.62096,0.54173,0.56774,0.34292,1.73476,2.81572,1.15185,1.59242,0,0.000104537,0.000104537,0.000104537
106,17295.9,0.97493,1.56324,0.50671,1.02669,0,0.63228,0.57151,0.61275,0.40961,0.61029,0.55877,0.57695,0.34738,1.70751,2.82154,1.15755,1.5594,0,9.7623e-05,9.7623e-05,9.7623e-05
107,17654.1,0.97185,1.55903,0.50279,1.03047,0,0.67955,0.52852,0.60899,0.40637,0.64909,0.51025,0.56667,0.34519,1.72538,2.83782,1.18607,1.57806,0,9.09473e-05,9.09473e-05,9.09473e-05
108,18014.6,0.98013,1.57181,0.50147,1.02615,0,0.71463,0.50981,0.60915,0.4094,0.69524,0.49129,0.57305,0.34746,1.74548,2.84911,1.18864,1.60758,0,8.45134e-05,8.45134e-05,8.45134e-05
109,18372.4,0.97158,1.55414,0.50387,1.0306,0,0.70753,0.53096,0.61936,0.41334,0.71203,0.4854,0.57505,0.34997,1.73242,2.79568,1.17325,1.601,0,7.8325e-05,7.8325e-05,7.8325e-05
110,18732.6,0.97284,1.563,0.5026,1.02974,0,0.66761,0.53541,0.60513,0.40161,0.63921,0.52073,0.56071,0.33946,1.74124,2.78913,1.21061,1.59271,0,7.23858e-05,7.23858e-05,7.23858e-05
111,19066.8,1.06729,1.54499,0.46865,1.08674,0,0.65913,0.55055,0.60537,0.40149,0.65784,0.50657,0.57037,0.33945,1.73862,2.90148,1.21753,1.60616,0,6.66993e-05,6.66993e-05,6.66993e-05
112,19391.4,1.04953,1.51859,0.45091,1.07221,0,0.71056,0.53101,0.61464,0.41296,0.68398,0.51783,0.58055,0.35359,1.75673,2.83101,1.16603,1.60605,0,6.12687e-05,6.12687e-05,6.12687e-05
113,19716,1.03927,1.49534,0.44318,1.065,0,0.70467,0.52497,0.60005,0.40277,0.68139,0.50899,0.56514,0.34281,1.76684,2.85441,1.23582,1.64105,0,5.60972e-05,5.60972e-05,5.60972e-05
114,20039.7,1.03918,1.50215,0.44183,1.06915,0,0.67521,0.53956,0.60672,0.40788,0.65572,0.52753,0.57461,0.35033,1.766,2.90165,1.21633,1.63578,0,5.11879e-05,5.11879e-05,5.11879e-05
115,20363.5,1.03149,1.47216,0.44305,1.06194,0,0.69252,0.54195,0.61531,0.41225,0.6584,0.5256,0.58051,0.35194,1.76298,2.89184,1.18598,1.62689,0,4.65435e-05,4.65435e-05,4.65435e-05
